順位,単語,TF-IDF,TF,IDF,出現数(日本),出現記事数(DF)
1,日本,0.03618,0.03445,1.05006,770,220
2,年,0.03133,0.03128,1.00175,699,246
3,国,0.00953,0.00917,1.03843,205,226
4,こと,0.00740,0.00729,1.01424,163,239
5,月,0.00730,0.00725,1.00706,162,243
6,第,0.00695,0.00667,1.04227,149,224
7,天皇,0.00678,0.00313,2.16400,70,16
8,中国,0.00666,0.00497,1.34137,111,112
9,世界,0.00645,0.00626,1.02896,140,231
10,関係,0.00574,0.00541,1.06000,121,215
11,人,0.00516,0.00510,1.01064,114,241
12,琉球,0.00487,0.00175,2.79239,39,3
13,明治,0.00478,0.00237,2.01424,53,23
14,列島,0.00453,0.00201,2.24832,45,13
15,倭国,0.00444,0.00152,2.91733,34,2
16,アジア,0.00438,0.00340,1.28724,76,127
17,台湾,0.00424,0.00255,1.66206,57,53
18,位,0.00414,0.00345,1.20133,77,155
19,地域,0.00413,0.00394,1.04810,88,221
20,後,0.00410,0.00394,1.04227,88,224
